Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Country),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OS),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Collection Block Limits Don't Save,AR-5072,656325,,Bug,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,ccrnyc2msw,ccrnyc2msw,11/Dec/18 10:53 AM,13/Dec/18 9:46 AM,03/May/19 9:49 AM,12/Dec/18 11:38 AM,,2018.12.11,,Site Manager,,,,0,,,,"Site Manager is not saving update to the limit field of a collection block.  It's retaining the previous value.


{quote}Mike Woodruff [10:39 AM]
i am having trouble updating the limit on premiere’s homepage collection blocks
http://site-manager.radioedit.iheart.com/#/brands/site/78fd8e6089ac8d2c865aa8cc2c7f5df9/Imported/pages/home

i set to 12, save, but then upon refresh, it’s back to 9

mattbrown [10:42 AM]
Not sure what's going on with the UI @Mike Woodruff, but the script didn't update that config

Mike Woodruff [10:42 AM]
let me check the api
http://site-manager.radioedit.iheart.com/api/v1/config2/?slug=edms-pr
Pasted image at 2018-12-11, 10:43 AM 


mattbrown [10:45 AM]
Right, it's definitely not accepting the new value
(from the tool)

Mike Woodruff [10:45 AM]
should we do a quick script to explicitly set the premiere homepage value to 12?
and then I’ll do a ticket to figure out what’s going on with the tool?

mattbrown [10:48 AM]
I don't mind..was just checking if this is an issue in dev/stg too
yeah, in dev I see that it's definitely not sending the new value on save
ok, I'll do a quick one-off to update premiere homepage limits to 12{quote}",,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3514,,,,,,,,,,,,,,,,,11/Dec/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzzwuf:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_25_Yggdrasil,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,11/Dec/18 1:38 PM;ccrnyc2msw;Tested on stage.  Confirmed that changes to the limit field of collection blocks save and are successfully reflected upon reload and in the API.  This looks good to me.,12/Dec/18 11:38 AM;ccrnyc2msw;Released to prod 12/11/18.,,,,,,,,,,,,,,,,,,,,
"Spike: Get more data out of ""Data""Dog",AR-5071,656313,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,1119767,1119767,11/Dec/18 8:20 AM,25/Jan/19 9:36 AM,03/May/19 9:49 AM,10/Jan/19 5:06 PM,,2019.1.22,,Site Manager,,,,0,,,,,,1119767,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-4090,,,,,,,,,,,,,,,,,22/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|i000re:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_26_Ziggy,RadioEdit_02_Barrel,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,11/Dec/18 12:45 PM;1119767;Waiting on support. See https://help.datadoghq.com/hc/en-us/requests/186183,18/Dec/18 8:09 AM;1119767;Our case has been escalated to engineering.,09/Jan/19 3:12 PM;ccrnyc2msw;Unblocked.  Ready for sprint 2. ,10/Jan/19 9:09 AM;1119767;Implemented the solution provided by support. It didn't work.,10/Jan/19 4:56 PM;1119767;Support says everything is working as intended. The only outstanding bit is that we can whitelist headers to be included in the trace for express applications. I'll add a couple and call it a day.,"10/Jan/19 5:07 PM;1119767;Per Trey: ""I think referrer, content-type, user-agent, origin, content-length, host would all be useful""",,,,,,,,,,,,,,,,
Create fixtures for installing article and author templates in prod,AR-5070,656299,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,mbrown,mbrown,mbrown,10/Dec/18 4:24 PM,13/Dec/18 11:54 AM,03/May/19 9:49 AM,13/Dec/18 11:54 AM,,,,Content Tool,,,,0,,,,"Suggestion: copy raw json data from stage templates into an objectdb ""save"" command (see src/storage for example objectdb commands -- these could go in that directory as well).

We've had bugs with regard to template storage, so verify that the raw template data is correct.

Also update the release document to include running the new fixtures prior to any migrations.",,1119767,1120341,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-4772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz75lb:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_25_Yggdrasil,RadioEdit_26_Ziggy,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,11/Dec/18 9:42 AM;1119767;I used mongodump to copy them from stage to prod as part of AR-4772,12/Dec/18 3:09 PM;ccrnyc2msw;Discussed in sprint planning.  may just be documentation.  [~1120341] and [~1119767] know what needs to be done here. ,"12/Dec/18 3:10 PM;1120341;[~mbrown], not me :)",,,,,,,,,,,,,,,,,,,
Limit and Offset for Charts tool,AR-5068,656280,,Story,TE Review,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,,1113313,1112062,1112062,10/Dec/18 1:42 PM,04/Feb/19 11:34 AM,03/May/19 9:49 AM,,,,,PN Charts,,,,0,AR_Kanban,,,,,1112062,1113313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Be able to specify a limit and offset when requesting a full chart,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzwq7:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/Jan/19 2:35 PM;1113313;This adds optional ""page"" and ""size"" GET params to the charts endpoint:

Default values are:
page = 1
size = 20

http://charts.radioedit.ihrint.com/api/v1/getChart/593aea510c743efdaaa56c5c?page=4&size=5",,,,,,,,,,,,,,,,,,,,,
Charts Limit config in Site Manager,AR-5067,656279,,Story,Submitted,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,,,1112062,1112062,10/Dec/18 1:41 PM,04/Feb/19 11:34 AM,03/May/19 9:49 AM,,,,,Site Manager,,,,0,,,,"As an SM user, I would like to set a limit for Charts List Block, so FiRE can use that to render the number of lists for a chart.",,1112062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Adding a limit setting for the Charts List Block,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzzwpz:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setup Raygun for Calendar,AR-5066,656249,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,amamut,amamut,amamut,10/Dec/18 11:42 AM,14/Jan/19 10:27 AM,03/May/19 9:49 AM,13/Dec/18 9:59 AM,,,,Calendar App,,,,0,,,,With sentry going away we need to move Calendar over to RayGun.,,amamut,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Errors logged in Raygun,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz75l3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_26_Ziggy,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,"13/Dec/18 9:58 AM;ccrnyc2msw;No product review on this one.  It passed engineering review, so closing.",14/Jan/19 10:27 AM;ccrnyc2msw;Per [~amamut] this work has been abandoned.  Removing release version.,,,,,,,,,,,,,,,,,,,,
SPIKE: Need to add new IPV6 media proxy for comcast to our servers created by ADE,AR-5160,656238,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,tlong,howella,howella,10/Dec/18 10:55 AM,19/Feb/19 10:06 AM,03/May/19 9:49 AM,19/Feb/19 10:06 AM,,,,,,,,0,tv.iheart.com,tvstage.iheart.com,,"this is a proxy that works for all different types of podcasts no matter the redirects with full control of the media. This needs to be added to tv-client github repo -> develop branch. And integrated into Jenkins job.

The proxy itself is a straight Node app that uses the current Node 10 LTS as its base Node package. 

Then we use the following npm packages
    ""config"": ""^2.0.1"",
    ""cors"": ""^2.8.5"",
    ""express"": ""^4.16.4"",
    ""http-proxy-middleware"": ""^0.19.0"",
    ""url-join"": ""^4.0.0"",
    ""winston"": ""^3.1.0"" (logging)
  

We usually wrap these in Docker images to ease any OS issues. 

This is a pretty simple app and shouldn’t have any real hard OS requirements. ",,1118371,ccrlax1pit,howella,tlong,,,,,,,,,,,,,PIP-1255,,,,,,,,,,,,,,,,,,,,,,,,,,10/Dec/18 10:56 AM;howella;media-proxy-master.zip;https://jira.ihrint.com/secure/attachment/176204/media-proxy-master.zip,,,,,,,,,,,Jenkins release pushes updates to this proxy to the correct directory on tv.iheart.com and tvstage.iheart.com,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz75m7:00dg,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_04_DeepImpact,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"12/Dec/18 5:08 PM;ccrlax1pit;[~tlong]- is this something you could host on RE? Ideally we'd be able to throw this docker container into kube, but that platform isn't ready yet.

[~1118371]- please weigh in with any thoughts you have on this as well. TV client environment is not currently running docker (runs Apache/PHP) and the new vendor has provided a node app in a docker container.

[~howella]- what's the time sensitivity on this?","02/Jan/19 10:48 AM;howella;[~ccrlax1pit] It's holding up some integrations with Comcast's Xfinity products because they want more of our live streams and podcasts, but it is not an outage emergency.","02/Jan/19 10:49 AM;howella;I think getting a plan together early this month and getting this out the door in Early February would be an adequate amount of time. Sooner would make the partner happier, but I can imagine there are a lot of early year requests :)",03/Jan/19 11:31 AM;1118371;I have relabeled this into a spike ticket and we should be able to take this on in the next sprint.,"03/Jan/19 12:32 PM;ccrlax1pit;[~howella]- I had a quick chat with Trey earlier. He said RadioEdit can easily host this.

Would you rather we move this ticket into the RE queue, or do you want to sync up with Trey and create a new ticket?","04/Jan/19 10:33 AM;howella;[~ccrlax1pit] sounds like this would require RadioEdit team time, which I am a bit concerned about. I will talk with Trey about this and then handle this ticket.","15/Jan/19 11:31 AM;tlong;After discussing with [~howella] this looks to be two basic steps.

#1 SRE needs to move RadioEdit to Fastly's dual stack setup for IPv6 support.

#2 RE should use our existing proxy code to make a new service in go that can proxy traffic for this podcasts app.

The alternative to #2 would be to use an existing nodejs based app. However, since the proxy will have to actually manage all of the traffic between any podcast (or stream) and the consumer my recommendation would be to use Go for this purpose.","15/Jan/19 11:32 AM;howella;current example of this app not on our platform works like this...
http://nprx1.weade.co/proxy?url=http://rfcmedia.streamguys1.com/MusicPulse.mp3
",15/Jan/19 11:44 AM;howella;this is the repo https://github.com/adiffengine/media-proxy For Access please contact Adam Howell,,,,,,,,,,,,,
Collection Block Limit/Offset Validation,AR-5065,656236,,Story,Submitted,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,,,ccrnyc2msw,ccrnyc2msw,10/Dec/18 10:23 AM,12/Dec/18 3:25 PM,03/May/19 9:49 AM,,,,,Site Manager,,,,0,,,,"Add validation to enforce reasonable values in the Site Manager Collection Block limit/offset fields.

Exact values TBD. ",,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz75nj:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move APM to Datadog (Fire),AR-5064,656201,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,ccrnyc2msw,1119767,07/Dec/18 1:15 PM,18/Dec/18 3:15 PM,03/May/19 9:49 AM,18/Dec/18 2:57 PM,,,,FiRE,,,,0,OSEO2018,,,,,1119767,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,AR-4891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-4090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hz75jz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_25_Yggdrasil,RadioEdit_26_Ziggy,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,13/Dec/18 3:29 PM;1119767;No events showing up here: https://app.datadoghq.com/apm/traces?end=1544732938763&env=prod&paused=false&start=1544729338763,18/Dec/18 1:49 PM;ccrnyc2msw;Discussed with Mark on Slack.  He's going to check this again once he returns from lunch to see if events are now being captured.,18/Dec/18 2:57 PM;1119767;Looks good,18/Dec/18 3:15 PM;ccrnyc2msw;Thanks!,,,,,,,,,,,,,,,,,,
Add top level topic function to query taxonomy for the topic page's tag,AR-5063,656192,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,1114558,1114558,07/Dec/18 11:57 AM,25/Jan/19 9:32 AM,03/May/19 9:49 AM,18/Dec/18 9:05 AM,,2019.1.15,,WebApi,,,,0,,,,"right now web is getting a list of articles for the topic on topic pages:
{code:java}
      query NewsDirectory($site: SiteQuery!, $topic:String, $page: Int) {
        site(select: $site) {
          timeline(topic: $topic, page:$page) {
            pub_start
            payload {
              external_url
              is_sponsored
              feed_vendor
              canonical_url
            }
            summary {
              image
              title
              description
              author
            }
            slug
          }
        }
      }
{code}
This unfortunately doesn't give us a way to pull the title and description for the header of the topic page (picture attached of the news.iheart.com version).  Web would like to retrieve the topic metadata (at least title and description) as part of the site call.",,1114558,1119767,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-4723,,,,,,,,,,,,,11/Dec/18 12:55 PM;1114558;Screen Shot 2018-12-11 at 12.55.10 PM.png;https://jira.ihrint.com/secure/attachment/176324/Screen+Shot+2018-12-11+at+12.55.10+PM.png,,,,,,,,,,,,,,,,,,,No,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz75m7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_26_Ziggy,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,"11/Dec/18 4:14 PM;1119767;Example query:
{code}
query NewsDirectory($site: SiteQuery!, $topic: String, $page: Int) {
  site(select: $site) {
    timeline(topic: $topic, page: $page) {
      pub_start
      payload {
        external_url
        is_sponsored
        feed_vendor
        canonical_url
      }
      summary {
        image
        title
        description
        author
      }
      slug
    }
  }
  taxonomy {
    topic(topic: $topic) {
      source {
        description
        display_name
      }
    }
  }
}
{code}

Example variables:
{code}
{""site"":{""slug"":""ihm-ip""}, ""topic"": ""trending-pop"", ""page"": 1}
{code}","14/Dec/18 1:45 PM;ccrnyc2msw;Tested on stage graphiql with the above query and variables - looks good to me.

Over to [~1114558] for his review.","14/Dec/18 2:11 PM;ccrnyc2msw;Reviewed with Andrew.  We missed the fallback if no display name attribute has been provided... we should return the tag name instead (similar to what we did in AR-4723)

Right now if you query a collection that doesn't have a display name (try using collection ""mike-test""), it's throwing this error:


{code:java}
 ""errors"": [
    {
      ""message"": ""Cannot return null for non-nullable field TagSource.display_name."",
      ""locations"": [
        {
          ""line"": 24,
          ""column"": 9
        }
      ],
      ""path"": [
        ""taxonomy"",
        ""topic"",
        ""source"",
        ""display_name""
      ],
      ""extensions"": {
        ""code"": ""INTERNAL_SERVER_ERROR""
      }
    }
  ],
{code}

",17/Dec/18 8:08 AM;1119767;You want display_name to *fall back* to the tag name? Or you want it to be nullable?,"17/Dec/18 8:27 AM;1119767;To clarify, the reason I did this for eyebrows is that this is the logic that Fire uses for eyebrows. For a general purpose taxonomy lookup, I'd rather not do the ""to uppercase remove dashes"" kind of transformation on it.","17/Dec/18 8:32 AM;ccrnyc2msw;We shouldn’t transform the value- if there’s no display name, on FiRE we give them the actual tag name as is. In the case of the above example, “mike-test” should be returned as that’s what the tag is (and there’s no display name set)","17/Dec/18 11:26 AM;1114558;[~ccrnyc2msw], [~1119767], is there a qa/stage version of news.iheart.com?  If we aren't null-ing the display name, I'm trying to figure out what would go in the title field of a topic page.  Right now the tag name would get dropped directly onto the page, I could check if the display name is equal to the tag name, but surfacing that logic on the client isn't a great idea.  If we do it this way, would it be possible to surface a boolean that says whether or not the display name should be displayed?","17/Dec/18 11:34 AM;ccrnyc2msw;Not readily available due to an environment shortage. By design, all tag names should be user friendly, but there were some bad values imported from T2 that weren’t user friendly, and because the capacity to rename topics doesn’t exist, a display name override was determined to be the best solution. 

I don’t think we want to add logic to show or hide the display name, would prefer to fallback to the topic tag name if no display name override is provided, matching our other clients behavior. ","17/Dec/18 12:01 PM;1114558;[~ccrnyc2msw], in that case, this work looks good to me!  Thanks guys!",18/Dec/18 9:05 AM;ccrnyc2msw;Thanks guys!  Tagging for release.,,,,,,,,,,,,
Need to expose all tags for cards in Webapi,AR-5062,656125,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,howella,howella,06/Dec/18 11:34 AM,13/Dec/18 9:48 AM,03/May/19 9:49 AM,11/Dec/18 9:35 AM,,2018.12.11,,WebApi,,,,0,,,,As the fireTV app ingesting the webapi for all cards associated with family tv app. I want to expose all tags for a specific card in the results so we may reduce the amount of data ingested by the app and/or the need for connections.,,1119767,ccrnyc2msw,howella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://webapi.radioedit.iheart.com/graphiql?query=query%20%7B%0A%20%20logo%3A%20leads%28%0A%20%20%20%20query%3A%20%7B%20limit%3A%201%2C%20subscription%3A%20%7B%20tags%3A%20%5B%22collections%2Ffamily-logo%22%5D%20%7D%20%7D%0A%20%20%29%20%7B%20%20%0A%20%20%20%20img_uri%0A%20%20%7D%0A%0A%20%20promo%3A%20leads%28%0A%20%20%20%20query%3A%20%7B%20limit%3A%201%2C%20subscription%3A%20%7B%20tags%3A%20%5B%22collections%2Ffamily-promo%22%5D%20%7D%20%7D%0A%20%20%29%20%7B%0A%20%20%20%20title%0A%20%20%20%20subtitle%0A%20%20%20%20link%20%7B%0A%20%20%20%20%20%20name%0A%20%20%20%20%20%20description%0A%20%20%20%20%20%20urls%20%7B%0A%20%20%20%20%20%20%20%20device%0A%20%20%20%20%20%20%20%20web%0A%20%20%20%20%20%20%7D%0A%20%20%20%20%7D%0A%20%20%20%20img_uri%0A%20%20%7D%0A%0A%20%20all%3A%20leads%28%0A%20%20%20%20query%3A%20%7B%20limit%3A%20500%2C%20subscription%3A%20%7B%20tags%3A%20%5B%22collections%2Ffamily-all%22%5D%20%7D%20%7D%0A%20%20%29%20%7B%0A%20%20%20%20catalog%20%7B%0A%20%20%20%20%20%20id%0A%20%20%20%20%20%20kind%0A%20%20%20%20%20%20name%0A%20%20%20%20%7D%0A%20%20%20%20img_uri%0A%20%20%7D%0A%7D%0A&variables=%7B%22site%22%3A%7B%22slug%22%3A%22xhdfm-fm%22%7D%7D

Has the tags exposed for each card",,,,,,,,No,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/Dec/18 12:00 AM,,,,,,,,,,,,,,,,,,,1|hzzw3j:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_25_Yggdrasil,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"06/Dec/18 8:28 PM;1119767;Example query:
{code}
query {
  logo: leads(
    query: { limit: 1, subscription: { tags: [""collections/family-logo""] } }
  ) {  
    img_uri
  }

  promo: leads(
    query: { limit: 1, subscription: { tags: [""collections/family-promo""] } }
  ) {
    title
    subtitle
    link {
      name
      description
      urls {
        device
        web
      }
    }
    targets {
      tags
    }
    img_uri
  }

  all: leads(
    query: { limit: 500, subscription: { tags: [""collections/family-all""] } }
  ) {
    catalog {
      id
      kind
      name
    }
    targets {
      tags
    }
    img_uri
  }
}
{code}",11/Dec/18 9:35 AM;ccrnyc2msw;Tested on stage.  Confirmed that all tags that are applied to a card are returned when requested via the targets option in the query above.  This looks good to me.,,,,,,,,,,,,,,,,,,,,
Replace notification service with Zorro's notification service,AR-5061,656100,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1120341,1119767,1119767,06/Dec/18 8:44 AM,01/Feb/19 3:08 PM,03/May/19 9:49 AM,13/Dec/18 10:09 AM,,2019.1.29 - Content,,Content Tool,,,,0,,,,No need to have a separate library when there is support built into Zorro. This will save a little bit on load time.,,1119767,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,29/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz75hz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_26_Ziggy,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,13/Dec/18 10:09 AM;ccrnyc2msw;Tested on stage.  Observed a variety of notifications throughout various pages of the app and confirmed that the Zorro style is being used and that the substance of the messages match what was there before.  This looks good to me.,,,,,,,,,,,,,,,,,,,,,
FormArray is completely recreated every time a block is added/removed/moved in a flex,AR-5060,656098,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,1119767,1119767,1119767,06/Dec/18 8:16 AM,01/Feb/19 3:08 PM,03/May/19 9:49 AM,11/Dec/18 2:27 PM,,2019.1.29 - Content,,Content Tool,,,,0,,,,See if FormArray allows us to perform atomic operations without creating the entire FormArray every time,,1119767,ccrnyc2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Capitalizable,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,,AR-3686,,,,,,,,,,,,,,,,,29/Jan/19 12:00 AM,,,,,,,,,,,,,,,,,,,1|hz75hr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit_25_Yggdrasil,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,"07/Dec/18 12:23 PM;1119767;Animations are hard, skipping that for now",11/Dec/18 2:27 PM;ccrnyc2msw;Tested on stage.  Made various adjustments to the templates screen by moving blocks around - didn't observe anything out of the ordinary.  This looks fine to me. ,,,,,,,,,,,,,,,,,,,,
